Links,Techstack
https://www.yourproductpartners.com/profile/017d58a0-ebd6-432e-aa81-0241c04ecf59,"Java,Spring Boot,Hibernate,Microservices,Angular"
https://www.yourproductpartners.com/profile/0196c3b9-17f5-412c-9df6-8e6fc5efa448,"Node.js,React.js,AWS,PostgreSQL,Azure,Rest API,NGINX,TS"
https://www.yourproductpartners.com/profile/03c8b4ef-824f-4a89-ad3f-6cae621d60ff," AR, Invision, PyCharm, Zeplin,.NET,3rd Party Integrations,ABAP,AI,API Integrations,ASP.NET,AWS,Adobe Illustration,Adobe Photoshop,Adobe XD,Agile,Android,Android Native,Angular,Angular JS,Angular Material,Animations,Apex Data Loader,Appium,Arduino,Asp.NET,Asp.NET using C#,Azure,BLE 5.0,Blazor,Blockchain,Bubble,C#,C++,Cloud Native,Content Stack,Core Java,Data Mining,Django,Docker,Dynamo DB,ERP Software Development,ESP 32,Eclipse,Embedded C,Embedded C/C++,Ether.js,Eureka,Express.js,FLA,Fast API,Figma,Firebase,Flask,Flutter,GCP,GPT 4,GRPC,Git,GoLang,Google Kubernete Engine,GraphQL,HTML,HTML/CSS,Hibernate,IOC-DI,Infosphere,JQuery,JS,Java,JavaScript (ES6+),Jenkins,Kafka,Kotlin,Kubernetes,LINQ,Laravel,ML,MQTT,Manual,Material UI,Microservices,Microsoft Azure,Microsoft Dynamics 365,MongoDB,Ms SQL,MySQL,NGINX,NLP,Next.js,No Code/Low Code,Node.js,Oculus Rift,Oculus VR Plugin,Odoo,Oracle,PHP,POS,PSD,PostgreSQL,PowerBI,PyTorch,Python,React Native,React.js,Redux,Rest API,Rest Web Service,Rollout,Ruby,S4 HANA,SAP,SAP/ABAP Implementation,SDK,SQL,SQLite,Salesforce,Selenium,Semantic UI,Sharepoint,Shopify,Shopify Liquid,Shopify Plus,Sketch,Socket.io,Solidity,Solution Architect,Spring Boot,Strip,Stripe & Paypal Integration,Symfony,TS,Tailwind,Testlink,Tibco Administartor,Tibco Hawk,Toradex,Tortoise SVN,Troubleshooting Expert,Umbraco CMS 11.x,Unit,Unity 3DGame Engine,VR,Velo,Vue.js,Vuforia,Web APIs,Web3,WebSockets,Webflow,Wix,Wordpress,XML,XR Toolkit,iOS,iOT"
https://www.yourproductpartners.com/profile/03f6b122-ac35-4d57-8be4-294cafd9c9e5,"Java,OOP,Hibernate,Spring Boot,GWT"
https://www.yourproductpartners.com/profile/04cd222a-03a9-4f99-b2f5-6275a4aeb942,"Odoo,MySQL,JS,ERP Software Development"
https://www.yourproductpartners.com/profile/0671c88d-44ff-4cb2-8cd0-c3a8f4bdeb31,"Magento,Laravel,Angular,PHP,MongoDB,JS"
https://www.yourproductpartners.com/profile/06a6b228-d5e8-4934-93fe-febef95d5c22,"AWS,Azure,GCP,Troubleshooting Expert"
https://www.yourproductpartners.com/profile/094e5e78-f0c7-47a0-9cde-8df89542f02d,"Odoo,Python,PostgreSQL,XML,JS, PyCharm"
https://www.yourproductpartners.com/profile/0d365824-122d-4e8d-8a72-c19b56b0218f,"GoLang,React Native,PostgreSQL,Vue.js,TS"
https://www.yourproductpartners.com/profile/1148bea1-2e9f-4faf-82cf-1a3523be9675,"Python,ML,AI,PyTorch,Data Mining,NLP"
https://www.yourproductpartners.com/profile/147d2f00-4aa0-473d-a7e3-e0f4320432f9,"React.js,Vue.js,Material UI,MySQL,Sentry,Amplify"
https://www.yourproductpartners.com/profile/16345420-6441-4bef-9678-910d19d482da,".Net Core,Web API,Azure DevOps,PostgreSQL,LinQ"
